Freq.	V(out3)
1.35365365365365e+02	9.83110772983086e-01,7.59378318642230e-01
1.35864864864865e+02	9.88649221387900e-01,7.57911415137074e-01
1.36364364364364e+02	9.94114522918810e-01,7.56421350147697e-01
1.36863863863864e+02	9.99507749609691e-01,7.54909270331978e-01
1.37363363363363e+02	1.00482996246668e+00,7.53376281189246e-01
1.37862862862863e+02	1.01008221115685e+00,7.51823448460579e-01
1.38362362362362e+02	1.01526553373371e+00,7.50251799484874e-01
1.38861861861862e+02	1.02038095639709e+00,7.48662324511783e-01
1.39361361361361e+02	1.02542949328500e+00,7.47055977972538e-01
1.39860860860861e+02	1.03041214629540e+00,7.45433679709748e-01
1.40360360360360e+02	1.03532990493573e+00,7.43796316167233e-01
1.40859859859860e+02	1.04018374619833e+00,7.42144741540962e-01
1.41359359359359e+02	1.04497463445986e+00,7.40479778892154e-01
1.41858858858859e+02	1.04970352140307e+00,7.38802221223588e-01
1.42358358358358e+02	1.05437134595930e+00,7.37112832520172e-01
1.42857857857858e+02	1.05897903427007e+00,7.35412348754793e-01
1.43357357357357e+02	1.06352749966660e+00,7.33701478860480e-01
1.43856856856857e+02	1.06801764266557e+00,7.31980905669856e-01
1.44356356356356e+02	1.07245035098022e+00,7.30251286822882e-01
1.44855855855856e+02	1.07682649954535e+00,7.28513255643855e-01
1.45355355355355e+02	1.08114695055518e+00,7.26767421988607e-01
1.45854854854855e+02	1.08541255351315e+00,7.25014373062826e-01
1.46354354354354e+02	1.08962414529251e+00,7.23254674212422e-01
1.46853853853854e+02	1.09378255020689e+00,7.21488869686818e-01
1.47353353353353e+02	1.09788858009002e+00,7.19717483376020e-01
1.47852852852853e+02	1.10194303438365e+00,7.17941019522340e-01
1.48352352352352e+02	1.10594670023316e+00,7.16159963407576e-01
1.48851851851852e+02	1.10990035258992e+00,7.14374782016454e-01
1.49351351351351e+02	1.11380475431988e+00,7.12585924677122e-01
1.49850850850851e+02	1.11766065631779e+00,7.10793823679455e-01
1.50350350350350e+02	1.12146879762637e+00,7.08998894871893e-01
1.50849849849850e+02	1.12522990556001e+00,7.07201538237574e-01
1.51349349349349e+02	1.12894469583243e+00,7.05402138450400e-01
1.51848848848849e+02	1.13261387268787e+00,7.03601065411766e-01
1.52348348348348e+02	1.13623812903540e+00,7.01798674768587e-01
1.52847847847848e+02	1.13981814658580e+00,6.99995308413250e-01
1.53347347347347e+02	1.14335459599094e+00,6.98191294966128e-01
1.53846846846847e+02	1.14684813698493e+00,6.96386950241260e-01
1.54346346346346e+02	1.15029941852702e+00,6.94582577695736e-01
1.54845845845846e+02	1.15370907894583e+00,6.92778468863404e-01
1.55345345345345e+02	1.15707774608454e+00,6.90974903773401e-01
1.55844844844845e+02	1.16040603744706e+00,6.89172151354055e-01
1.56344344344344e+02	1.16369456034455e+00,6.87370469822657e-01
1.56843843843844e+02	1.16694391204243e+00,6.85570107061599e-01
1.57343343343343e+02	1.17015467990747e+00,6.83771300981360e-01
1.57842842842843e+02	1.17332744155481e+00,6.81974279870785e-01
1.58342342342342e+02	1.17646276499478e+00,6.80179262735122e-01
1.58841841841842e+02	1.17956120877930e+00,6.78386459622222e-01
1.59341341341341e+02	1.18262332214777e+00,6.76596071937348e-01
1.59840840840841e+02	1.18564964517228e+00,6.74808292746957e-01
1.60340340340340e+02	1.18864070890200e+00,6.73023307071883e-01
1.60839839839840e+02	1.19159703550670e+00,6.71241292170260e-01
1.61339339339339e+02	1.19451913841925e+00,6.69462417810573e-01
1.61838838838839e+02	1.19740752247698e+00,6.67686846535154e-01
1.62338338338338e+02	1.20026268406189e+00,6.65914733914508e-01
1.62837837837838e+02	1.20308511123956e+00,6.64146228792740e-01
1.63337337337337e+02	1.20587528389680e+00,6.62381473524432e-01
1.63836836836837e+02	1.20863367387778e+00,6.60620604203265e-01
1.64336336336336e+02	1.21136074511880e+00,6.58863750882673e-01
1.64835835835836e+02	1.21405695378155e+00,6.57111037788807e-01
1.65335335335335e+02	1.21672274838477e+00,6.55362583526096e-01
1.65834834834835e+02	1.21935856993440e+00,6.53618501275650e-01
1.66334334334334e+02	1.22196485205202e+00,6.51878898986771e-01
1.66833833833834e+02	1.22454202110176e+00,6.50143879561813e-01
1.67333333333333e+02	1.22709049631545e+00,6.48413541034609e-01
1.67832832832833e+02	1.22961068991609e+00,6.46687976742725e-01
1.68332332332332e+02	1.23210300723967e+00,6.44967275493729e-01
1.68831831831832e+02	1.23456784685521e+00,6.43251521725701e-01
1.69331331331331e+02	1.23700560068310e+00,6.41540795662190e-01
1.69830830830831e+02	1.23941665411169e+00,6.39835173461799e-01
1.70330330330330e+02	1.24180138611216e+00,6.38134727362603e-01
1.70829829829830e+02	1.24416016935162e+00,6.36439525821578e-01
1.71329329329329e+02	1.24649337030448e+00,6.34749633649206e-01
1.71828828828829e+02	1.24880134936212e+00,6.33065112139442e-01
1.72328328328328e+02	1.25108446094071e+00,6.31386019195205e-01
1.72827827827828e+02	1.25334305358748e+00,6.29712409449523e-01
1.73327327327327e+02	1.25557747008507e+00,6.28044334382528e-01
1.73826826826827e+02	1.25778804755437e+00,6.26381842434415e-01
1.74326326326326e+02	1.25997511755547e+00,6.24724979114512e-01
1.74825825825826e+02	1.26213900618708e+00,6.23073787106613e-01
1.75325325325325e+02	1.26428003418418e+00,6.21428306370682e-01
1.75824824824825e+02	1.26639851701406e+00,6.19788574241071e-01
1.76324324324324e+02	1.26849476497067e+00,6.18154625521370e-01
1.76823823823824e+02	1.27056908326742e+00,6.16526492576008e-01
1.77323323323323e+02	1.27262177212828e+00,6.14904205418709e-01
1.77822822822823e+02	1.27465312687734e+00,6.13287791797924e-01
1.78322322322322e+02	1.27666343802679e+00,6.11677277279343e-01
1.78821821821822e+02	1.27865299136335e+00,6.10072685325581e-01
1.79321321321321e+02	1.28062206803315e+00,6.08474037373142e-01
1.79820820820821e+02	1.28257094462506e+00,6.06881352906757e-01
1.80320320320320e+02	1.28449989325262e+00,6.05294649531181e-01
1.80819819819820e+02	1.28640918163440e+00,6.03713943040548e-01
1.81319319319319e+02	1.28829907317294e+00,6.02139247485346e-01
1.81818818818819e+02	1.29016982703226e+00,6.00570575237131e-01
1.82318318318318e+02	1.29202169821397e+00,5.99007937051014e-01
1.82817817817818e+02	1.29385493763192e+00,5.97451342126037e-01
1.83317317317317e+02	1.29566979218557e+00,5.95900798163491e-01
1.83816816816817e+02	1.29746650483195e+00,5.94356311423237e-01
1.84316316316316e+02	1.29924531465630e+00,5.92817886778138e-01
1.84815815815816e+02	1.30100645694139e+00,5.91285527766610e-01
1.85315315315315e+02	1.30275016323562e+00,5.89759236643410e-01
1.85814814814815e+02	1.30447666141976e+00,5.88239014428689e-01
1.86314314314314e+02	1.30618617577249e+00,5.86724860955382e-01
1.86813813813814e+02	1.30787892703473e+00,5.85216774914984e-01
1.87313313313313e+02	1.30955513247274e+00,5.83714753901781e-01
1.87812812812813e+02	1.31121500594004e+00,5.82218794455569e-01
1.88312312312312e+02	1.31285875793819e+00,5.80728892102931e-01
1.88811811811812e+02	1.31448659567637e+00,5.79245041397112e-01
1.89311311311311e+02	1.31609872312994e+00,5.77767235956541e-01
1.89810810810811e+02	1.31769534109779e+00,5.76295468502043e-01
1.90310310310310e+02	1.31927664725863e+00,5.74829730892792e-01
1.90809809809810e+02	1.32084283622631e+00,5.73370014161043e-01
1.91309309309309e+02	1.32239409960396e+00,5.71916308545687e-01
1.91808808808809e+02	1.32393062603719e+00,5.70468603524663e-01
1.92308308308308e+02	1.32545260126626e+00,5.69026887846274e-01
1.92807807807808e+02	1.32696020817727e+00,5.67591149559444e-01
1.93307307307307e+02	1.32845362685238e+00,5.66161376042937e-01
1.93806806806807e+02	1.32993303461902e+00,5.64737554033589e-01
1.94306306306306e+02	1.33139860609829e+00,5.63319669653586e-01
1.94805805805806e+02	1.33285051325234e+00,5.61907708436807e-01
1.95305305305305e+02	1.33428892543085e+00,5.60501655354276e-01
1.95804804804805e+02	1.33571400941671e+00,5.59101494838746e-01
1.96304304304304e+02	1.33712592947076e+00,5.57707210808445e-01
1.96803803803804e+02	1.33852484737573e+00,5.56318786690022e-01
1.97303303303303e+02	1.33991092247926e+00,5.54936205440696e-01
1.97802802802803e+02	1.34128431173624e+00,5.53559449569667e-01
1.98302302302302e+02	1.34264516975023e+00,5.52188501158782e-01
1.98801801801802e+02	1.34399364881415e+00,5.50823341882498e-01
1.99301301301301e+02	1.34532989895021e+00,5.49463953027177e-01
1.99800800800801e+02	1.34665406794903e+00,5.48110315509699e-01
2.00300300300300e+02	1.34796630140806e+00,5.46762409895452e-01
2.00799799799800e+02	1.34926674276930e+00,5.45420216415698e-01
2.01299299299299e+02	1.35055553335621e+00,5.44083714984351e-01
2.01798798798799e+02	1.35183281241007e+00,5.42752885214172e-01
2.02298298298298e+02	1.35309871712549e+00,5.41427706432409e-01
2.02797797797798e+02	1.35435338268539e+00,5.40108157695890e-01
2.03297297297297e+02	1.35559694229521e+00,5.38794217805615e-01
2.03796796796797e+02	1.35682952721659e+00,5.37485865320825e-01
2.04296296296296e+02	1.35805126680030e+00,5.36183078572589e-01
2.04795795795796e+02	1.35926228851861e+00,5.34885835676926e-01
2.05295295295295e+02	1.36046271799710e+00,5.33594114547463e-01
2.05794794794795e+02	1.36165267904575e+00,5.32307892907661e-01
2.06294294294294e+02	1.36283229368956e+00,5.31027148302608e-01
2.06793793793794e+02	1.36400168219854e+00,5.29751858110398e-01
2.07293293293293e+02	1.36516096311717e+00,5.28481999553128e-01
2.07792792792793e+02	1.36631025329328e+00,5.27217549707486e-01
